## Phase 7 Live Market Intelligence Report,2026-07-15T10:46:55Z,verdict:PASS,PAPER / LIVE DATA VALIDATION

## data_health,rows:1
avg_latency_ms,connection_status,last_successful_fetch,max_latency_ms,paper_execution_eligible,provider,provider_id,retry_events,snapshot_id,snapshot_ts,symbol_coverage_pct,symbols_requested,symbols_stale,symbols_succeeded,symbols_unavailable
608.9,DEGRADED,2026-07-15T10:42:33Z,9985,True,Yahoo Finance (yfinance),yfinance,6,439cb6e03afb,2026-07-15T10:42:03Z,96.0,50,0,48,2

## symbol_coverage,rows:50
bars_available,data_age_days,data_quality,data_source,error,latest_bar_date,sector,symbol
124,0.0,LIVE,yfinance,,2026-07-15,BANKING,INDUSINDBK
124,0.0,LIVE,yfinance,,2026-07-15,IT,HCLTECH
124,0.0,LIVE,yfinance,,2026-07-15,BANKING,HDFCBANK
124,0.0,LIVE,yfinance,,2026-07-15,FMCG,TATACONSUM
124,0.0,LIVE,yfinance,,2026-07-15,FINANCE,BAJFINANCE
124,0.0,LIVE,yfinance,,2026-07-15,BANKING,ICICIBANK
124,0.0,LIVE,yfinance,,2026-07-15,METALS,TATASTEEL
124,0.0,LIVE,yfinance,,2026-07-15,PHARMA,DRREDDY
124,0.0,LIVE,yfinance,,2026-07-15,ENERGY,RELIANCE
124,0.0,LIVE,yfinance,,2026-07-15,FINANCE,HDFCLIFE
124,0.0,LIVE,yfinance,,2026-07-15,FINANCE,SHRIRAMFIN
124,0.0,LIVE,yfinance,,2026-07-15,METALS,JSWSTEEL
124,0.0,LIVE,yfinance,,2026-07-15,BANKING,KOTAKBANK
124,0.0,LIVE,yfinance,,2026-07-15,BANKING,SBIN
124,0.0,LIVE,yfinance,,2026-07-15,ENERGY,ONGC
124,0.0,LIVE,yfinance,,2026-07-15,IT,WIPRO
124,0.0,LIVE,yfinance,,2026-07-15,ENERGY,POWERGRID
124,0.0,LIVE,yfinance,,2026-07-15,ENERGY,COALINDIA
124,0.0,LIVE,yfinance,,2026-07-15,ENERGY,NTPC
124,0.0,LIVE,yfinance,,2026-07-15,FMCG,ITC
124,0.0,LIVE,yfinance,,2026-07-15,AUTO,BAJAJ-AUTO
124,0.0,LIVE,yfinance,,2026-07-15,FINANCE,BAJAJFINSV
124,0.0,LIVE,yfinance,,2026-07-15,TELECOM,BHARTIARTL
124,0.0,LIVE,yfinance,,2026-07-15,IT,TECHM
124,0.0,LIVE,yfinance,,2026-07-15,CONSUMER,TITAN
124,0.0,LIVE,yfinance,,2026-07-15,INFRA,ULTRACEMCO
124,0.0,LIVE,yfinance,,2026-07-15,BANKING,AXISBANK
123,0.0,LIVE,yfinance,,2026-07-15,PHARMA,DIVISLAB
124,0.0,LIVE,yfinance,,2026-07-15,IT,TCS
124,0.0,LIVE,yfinance,,2026-07-15,INFRA,LT
124,0.0,LIVE,yfinance,,2026-07-15,METALS,HINDALCO
124,0.0,LIVE,yfinance,,2026-07-15,METALS,ADANIENT
124,0.0,LIVE,yfinance,,2026-07-15,INFRA,ADANIPORTS
124,0.0,LIVE,yfinance,,2026-07-15,PHARMA,APOLLOHOSP
124,0.0,LIVE,yfinance,,2026-07-15,CONSUMER,ASIANPAINT
124,0.0,LIVE,yfinance,,2026-07-15,FMCG,BRITANNIA
124,0.0,LIVE,yfinance,,2026-07-15,PHARMA,CIPLA
124,0.0,LIVE,yfinance,,2026-07-15,AUTO,EICHERMOT
124,0.0,LIVE,yfinance,,2026-07-15,INFRA,GRASIM
124,0.0,LIVE,yfinance,,2026-07-15,AUTO,HEROMOTOCO
124,0.0,LIVE,yfinance,,2026-07-15,FMCG,HINDUNILVR
124,0.0,LIVE,yfinance,,2026-07-15,IT,INFY
124,0.0,LIVE,yfinance,,2026-07-15,AUTO,M&M
124,0.0,LIVE,yfinance,,2026-07-15,AUTO,MARUTI
124,0.0,LIVE,yfinance,,2026-07-15,FMCG,NESTLEIND
124,0.0,LIVE,yfinance,,2026-07-15,FINANCE,SBILIFE
124,0.0,LIVE,yfinance,,2026-07-15,PHARMA,SUNPHARMA
124,0.0,LIVE,yfinance,,2026-07-15,CONSUMER,TRENT
0,,UNAVAILABLE,yfinance,Data fetch failed: No data returned for LTIM.NS,,IT,LTIM
0,,UNAVAILABLE,yfinance,Data fetch failed: No data returned for TATAMOTORS.NS,,AUTO,TATAMOTORS

## scan_audit,rows:1
all_items_share_same_scan_id,all_items_share_same_snapshot_ts,audit_verdict,data_fetched_before_analysis,distinct_scan_id_count,distinct_snapshot_ts_count,fetch_completed_ts,no_lookahead,scan_completed_ts,scan_id,snapshot_ts
True,True,PASS,True,1,1,2026-07-15T10:42:33Z,Data is fetched from yfinance using max_data_timestamp patterns; all bars available before analysis began.,2026-07-15T10:42:36Z,439cb6e03afb,2026-07-15T10:42:03Z

## decision_counts,rows:2
action,count
IGNORE,46
WATCH,4

## gate_failures,rows:4
failed,gate,passed,sample_reasons,total_symbols
2,gate_price,48,"[""Data fetch failed: No data returned for LTIM.NS"", ""Data fetch failed: No data returned for TATAMOTORS.NS""]",50
2,gate_data_quality,48,"[""Data fetch failed: No data returned for LTIM.NS"", ""Data fetch failed: No data returned for TATAMOTORS.NS""]",50
2,gate_rr,48,"[""Symbol failed"", ""Symbol failed""]",50
2,gate_volume,48,"[""Symbol failed"", ""Symbol failed""]",50

## gate_detail,rows:50
all_gates_passed,gate_price_passed,gate_price_reason,gate_quality_passed,gate_quality_reason,gate_rr_passed,gate_rr_reason,gate_volume_passed,gate_volume_reason,symbol
True,True,Price ₹1009.70 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 0.61 acceptable,INDUSINDBK
True,True,Price ₹1168.00 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.67 acceptable,HCLTECH
True,True,Price ₹815.45 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.63 acceptable,HDFCBANK
True,True,Price ₹1085.50 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.72 acceptable,TATACONSUM
True,True,Price ₹1021.30 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 0.65 acceptable,BAJFINANCE
True,True,Price ₹1416.20 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 1.07 acceptable,ICICIBANK
True,True,Price ₹185.26 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 0.88 acceptable,TATASTEEL
True,True,Price ₹1229.50 valid,True,Data quality LIVE — no cap applied,True,RR 2.50 passes gate (min 1.5),True,Volume ratio 0.64 acceptable,DRREDDY
True,True,Price ₹1295.50 valid,True,Data quality LIVE — no cap applied,True,RR 2.50 passes gate (min 1.5),True,Volume ratio 0.76 acceptable,RELIANCE
True,True,Price ₹568.75 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 1.22 acceptable,HDFCLIFE
True,True,Price ₹1033.80 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 1.37 acceptable,SHRIRAMFIN
True,True,Price ₹1226.90 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.62 acceptable,JSWSTEEL
True,True,Price ₹378.40 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.46 acceptable,KOTAKBANK
True,True,Price ₹1030.10 valid,True,Data quality LIVE — no cap applied,True,RR 2.50 passes gate (min 1.5),True,Volume ratio 1.37 acceptable,SBIN
True,True,Price ₹247.18 valid,True,Data quality LIVE — no cap applied,True,RR 2.50 passes gate (min 1.5),True,Volume ratio 0.86 acceptable,ONGC
True,True,Price ₹174.65 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.47 acceptable,WIPRO
True,True,Price ₹280.70 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 1.07 acceptable,POWERGRID
True,True,Price ₹427.55 valid,True,Data quality LIVE — no cap applied,True,RR 2.50 passes gate (min 1.5),True,Volume ratio 1.04 acceptable,COALINDIA
True,True,Price ₹344.35 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.91 acceptable,NTPC
True,True,Price ₹276.65 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.70 acceptable,ITC
True,True,Price ₹10323.00 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 1.08 acceptable,BAJAJ-AUTO
True,True,Price ₹1849.60 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 0.48 acceptable,BAJAJFINSV
True,True,Price ₹1918.30 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 0.87 acceptable,BHARTIARTL
True,True,Price ₹1498.70 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 0.74 acceptable,TECHM
True,True,Price ₹4579.40 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 0.70 acceptable,TITAN
True,True,Price ₹11812.00 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 1.64 acceptable,ULTRACEMCO
True,True,Price ₹1312.30 valid,True,Data quality LIVE — no cap applied,True,RR 3.00 passes gate (min 1.5),True,Volume ratio 1.68 acceptable,AXISBANK
True,True,Price ₹7273.00 valid,True,Data quality LIVE — no cap applied,True,RR 2.00 passes gate (min 1.5),True,Volume ratio 1.87 acceptable,DIVISLAB
True,True,Price ₹2189.20 valid,True,Data quality LIVE — no cap applied,True,RR 2.00 passes gate (min 1.5),True,Volume ratio 0.97 acceptable,TCS
True,True,Price ₹3783.90 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 1.78 acceptable,LT
True,True,Price ₹955.80 valid,True,Data quality LIVE — no cap applied,True,RR 1.50 passes gate (min 1.5),True,Volume ratio 0.91 acceptable,HINDALCO
True,True,Price ₹3150.60 valid,True,Data quality LIVE — no cap applied,True,RR 2.00 passes gate (min 1.5),True,Volume ratio 0.49 acceptable,ADANIENT
True,True,Price ₹1829.10 valid,True,Data quality LIVE — no cap applied,True,RR 2.00 passes gate (min 1.5),True,Volume ratio 0.48 acceptable,ADANIPORTS
True,True,Price ₹8934.00 valid,True,Data quality LIVE — no cap applied,True,RR 2.00 passes gate (min 1.5),True,Volume ratio 1.60 acceptable,APOLLOHOSP
