File,Size,Tests,Coverage,
`tests/unit/strategy/__init__.py`,0 B,—,—,
`tests/unit/strategy/conftest.py`,274 B,—,Shared fixtures,
`tests/unit/strategy/test_contracts.py`,7,982 B,15,Signal, Config, Context, Snapshot,
`tests/unit/strategy/test_state_machine.py`,6,109 B,14,All lifecycle transitions,
`tests/unit/strategy/test_signal_router.py`,11,308 B,18,Validation, routing, conflicts,
`tests/unit/strategy/test_runtime.py`,13,830 B,11,Start/stop/pause/signals/fills,
`tests/unit/strategy/test_coordinator.py`,6,432 B,12,Register/start/stop/emergency,
`tests/unit/strategy/test_context_builder.py`,3,308 B,6,Context assembly,
`tests/unit/strategy/test_fill_tracker.py`,5,789 B,8,Fill tracking, positions,
`tests/unit/strategy/test_exceptions.py`,1,735 B,9,Exception hierarchy,
`tests/unit/strategy/test_integration.py`,5,471 B,3,End-to-end pipeline,
`tests/unit/strategy/built_in/__init__.py`,0 B,—,—,
`tests/unit/strategy/built_in/test_sma_crossover.py`,7,134 B,12,SMA strategy validation,

Generated by Kimi AI
