Rank,Symbol,Sector,Action,OpportunityScore,Confidence,Entry,StopLoss,Target,RRRatio,Strategy,Regime,DataQuality,AllGatesPassed,Error
1,INDUSINDBK,BANKING,WATCH,44.8,34.8,1027.2,979.21,1171.17,3.0,Trend Rider,Strong uptrend,LIVE,True,
2,HCLTECH,IT,WATCH,42.5,39.9,1203.9,1144.62,1292.82,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
3,HDFCBANK,BANKING,WATCH,42.5,39.9,819.6,798.0,852.0,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
4,TATACONSUM,FMCG,WATCH,42.4,39.7,1088.6,1053.74,1140.89,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
5,BAJFINANCE,FINANCE,IGNORE,40.2,29.4,1056.3,1008.43,1199.91,3.0,Trend Rider,Strong uptrend,LIVE,True,
6,ICICIBANK,BANKING,IGNORE,40.2,29.4,1444.3,1394.07,1594.99,3.0,Trend Rider,Strong uptrend,LIVE,True,
7,TATASTEEL,METALS,IGNORE,40.0,29.2,185.89,178.38,208.42,3.0,Trend Rider,Strong uptrend,LIVE,True,
8,DRREDDY,PHARMA,IGNORE,38.4,29.4,1211.2,1150.38,1363.25,2.5,MACD Cross,Trending (momentum),LIVE,True,
9,HDFCLIFE,FINANCE,IGNORE,38.3,36.9,563.65,541.49,596.89,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
10,RELIANCE,ENERGY,IGNORE,38.2,29.3,1327.2,1281.33,1441.87,2.5,MACD Cross,Trending (momentum),LIVE,True,
11,COALINDIA,ENERGY,IGNORE,37.5,30.4,427.65,411.76,467.37,2.5,MACD Cross,Trending (momentum),LIVE,True,
12,SBIN,BANKING,IGNORE,36.4,29.3,1044.3,1006.49,1119.92,2.0,EMA Cross,Trending (momentum),LIVE,True,
13,KOTAKBANK,BANKING,IGNORE,34.5,29.3,389.95,377.21,409.06,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
14,SHRIRAMFIN,FINANCE,IGNORE,34.5,29.3,1034.9,993.86,1096.46,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
15,JSWSTEEL,METALS,IGNORE,34.4,29.2,1237.3,1200.68,1292.23,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
16,POWERGRID,ENERGY,IGNORE,32.6,25.0,283.55,273.61,308.4,2.5,MACD Cross,Trending (momentum),LIVE,True,
17,ONGC,ENERGY,IGNORE,32.2,24.2,247.29,237.89,270.79,2.5,MACD Cross,Trending (momentum),LIVE,True,
18,WIPRO,IT,IGNORE,29.1,25.0,176.0,170.03,184.95,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
19,NTPC,ENERGY,IGNORE,24.0,19.6,341.85,332.17,356.37,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
20,BAJAJ-AUTO,AUTO,IGNORE,23.6,8.0,10443.0,10021.13,11708.61,3.0,Trend Rider,Strong uptrend,LIVE,True,
21,BHARTIARTL,TELECOM,IGNORE,23.6,8.0,1908.8,1839.41,2116.97,3.0,Trend Rider,Strong uptrend,LIVE,True,
22,SUNPHARMA,PHARMA,IGNORE,23.6,8.0,1932.6,1871.96,2114.52,3.0,Trend Rider,Strong uptrend,LIVE,True,
23,ULTRACEMCO,INFRA,IGNORE,23.6,8.0,11727.0,11315.6,12961.2,3.0,Trend Rider,Strong uptrend,LIVE,True,
24,M&M,AUTO,IGNORE,21.8,8.0,3179.2,3038.08,3532.0,2.5,MACD Cross,Trending (momentum),LIVE,True,
25,AXISBANK,BANKING,IGNORE,21.0,8.1,1328.5,1274.91,1489.27,3.0,Trend Rider,Strong uptrend,LIVE,True,
26,ITC,FMCG,IGNORE,20.3,16.9,280.7,274.68,289.73,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
27,EICHERMOT,AUTO,IGNORE,19.9,8.0,7563.5,7247.66,8195.18,2.0,EMA Cross,Trending (momentum),LIVE,True,
28,INFY,IT,IGNORE,19.9,8.0,1096.5,1032.63,1224.24,2.0,EMA Cross,Trending (momentum),LIVE,True,
29,HINDALCO,METALS,IGNORE,15.4,8.1,944.15,908.66,997.39,1.5,Mean Reversion,Ranging / sideways,LIVE,True,
30,ADANIENT,METALS,IGNORE,11.5,0.0,3160.7,3001.03,3480.04,2.0,EMA Cross,Trending (momentum),LIVE,True,
31,ADANIPORTS,INFRA,IGNORE,11.5,0.0,1837.4,1763.41,1985.38,2.0,EMA Cross,Trending (momentum),LIVE,True,
32,APOLLOHOSP,PHARMA,IGNORE,11.5,0.0,8826.0,8554.78,9368.44,2.0,EMA Cross,Trending (momentum),LIVE,True,
33,ASIANPAINT,CONSUMER,IGNORE,11.5,0.0,2689.0,2587.7,2891.6,2.0,EMA Cross,Trending (momentum),LIVE,True,
34,BAJAJFINSV,FINANCE,IGNORE,11.5,0.0,1854.0,1771.83,2018.34,2.0,EMA Cross,Trending (momentum),LIVE,True,
35,BRITANNIA,FMCG,IGNORE,11.5,0.0,5412.5,5225.9,5785.7,2.0,EMA Cross,Trending (momentum),LIVE,True,
36,CIPLA,PHARMA,IGNORE,11.5,0.0,1418.7,1365.9,1524.3,2.0,EMA Cross,Trending (momentum),LIVE,True,
37,DIVISLAB,PHARMA,IGNORE,11.5,0.0,7247.5,6952.07,7838.36,2.0,EMA Cross,Trending (momentum),LIVE,True,
38,GRASIM,INFRA,IGNORE,11.5,0.0,3109.7,2993.11,3342.88,2.0,EMA Cross,Trending (momentum),LIVE,True,
39,HEROMOTOCO,AUTO,IGNORE,11.5,0.0,4909.9,4718.89,5291.92,2.0,EMA Cross,Trending (momentum),LIVE,True,
40,HINDUNILVR,FMCG,IGNORE,11.5,0.0,2143.8,2063.55,2304.3,2.0,EMA Cross,Trending (momentum),LIVE,True,
41,LT,INFRA,IGNORE,11.5,0.0,3814.5,3668.32,4106.86,2.0,EMA Cross,Trending (momentum),LIVE,True,
42,MARUTI,AUTO,IGNORE,11.5,0.0,13803.0,13213.87,14981.26,2.0,EMA Cross,Trending (momentum),LIVE,True,
43,NESTLEIND,FMCG,IGNORE,11.5,0.0,1427.2,1371.59,1538.42,2.0,EMA Cross,Trending (momentum),LIVE,True,
44,SBILIFE,FINANCE,IGNORE,11.5,0.0,1829.4,1751.42,1985.36,2.0,EMA Cross,Trending (momentum),LIVE,True,
45,TCS,IT,IGNORE,11.5,0.0,2269.0,2141.57,2523.86,2.0,EMA Cross,Trending (momentum),LIVE,True,
46,TECHM,IT,IGNORE,11.5,0.0,1572.9,1477.98,1762.74,2.0,EMA Cross,Trending (momentum),LIVE,True,
47,TITAN,CONSUMER,IGNORE,11.5,0.0,4638.1,4470.89,4972.52,2.0,EMA Cross,Trending (momentum),LIVE,True,
48,TRENT,CONSUMER,IGNORE,11.5,0.0,2842.4,2681.99,3163.22,2.0,EMA Cross,Trending (momentum),LIVE,True,
49,LTIM,IT,IGNORE,0.0,0.0,0.0,0.0,0.0,0.0,,,UNAVAILABLE,False,Data fetch failed: No data returned for LTIM.NS
50,TATAMOTORS,AUTO,IGNORE,0.0,0.0,0.0,0.0,0.0,0.0,,,UNAVAILABLE,False,Data fetch failed: No data returned for TATAMOTORS.NS
